"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,3.2,2008
10102,38.1976053718,14.3684872468,3.36,2008
10103,38.4462212067,14.0128021324,2.59,2008
10104,38.2890387993,14.0954039933,2.28,2008
10105,37.9943044852,13.9583210338,3.04,2008
10106,38.1869484907,13.6373483963,2.49,2008
10202,39.126872138,14.3809487835,4.9,2008
10204,38.9257460174,14.1805138195,2.99,2008
10205,38.7607103669,14.0973815128,3.2,2008
10207,38.6864654633,13.8441677661,4.29,2008
10210,38.8908897116,13.4053203879,3,2008
10301,39.4106705647,14.4062587302,3,2008
10305,39.3847765445,13.9659940799,3.4,2008
10306,39.527610911,13.7556066885,2.7,2008
10401,39.1731478762,13.2267713565,2.93,2008
10403,39.559229543,13.149430224,2.26,2008
10405,39.4556186598,12.7571015885,5.33,2008
10407,39.5185955006,12.3906479948,2.69,2008
10408,39.3835564247,12.5435315255,3.13,2008
10501,36.8755172181,14.0458655784,2.63,2008
10502,37.4043810282,13.7570921417,3.38,2008
10503,37.0761351319,13.5155634396,2.165,2008
20103,41.4722273717,11.5530380207,2.25,2008
20306,39.8673677546,9.48779371362,3.01,2008
30108,37.3686118944,12.7640315158,2.99,2008
30111,37.2662469495,12.3978364963,1.725,2008
30112,36.9193565029,12.6032497692,2.405,2008
30113,36.3253102546,12.8831867494,1,2008
30115,36.7407517091,11.9342535541,2,2008
30116,37.846502651,12.4924425667,2.82,2008
30121,36.7706122103,12.2335690551,2,2008
30201,38.2359611133,12.190588177,1.68,2008
30202,37.7824914691,12.1456321624,2.655,2008
30203,37.7689560145,11.8858941622,2.22,2008
30207,38.3690804279,11.3347646839,3.635,2008
30208,38.0724651768,11.4924403628,2.95,2008
30209,37.6767673815,11.6119339133,3.04,2008
30211,37.9129262314,11.3709450698,2.585,2008
30405,39.6893650051,11.3252474795,2.6,2008
30411,38.7743238736,11.067174873,3,2008
30413,38.9837857638,10.5394870005,2.68,2008
30416,38.6799782192,10.5336272882,2.7,2008
30507,39.8026949302,10.5998286943,3.1,2008
30508,39.8863490586,10.3116653775,2.63,2008
30515,39.7718559409,9.55828706557,2.44,2008
30521,39.3664477196,10.1802664073,4,2008
30601,37.7529514139,10.8319963436,2.21,2008
30602,37.8995407123,10.9873918702,2.69,2008
30603,38.1687075546,10.9849875701,2.6,2008
30604,38.3917629465,10.8642630053,2.92,2008
30606,38.1763215848,10.5039977475,1.915,2008
30607,37.9924528885,10.5419707653,1.74,2008
30609,37.5436708619,10.4897726295,2.15,2008
30610,37.6346910804,10.2701187939,3,2008
30613,38.1772925744,10.2022520682,1.96,2008
30617,37.8820100408,10.1811865565,2.355,2008
30701,36.9542675614,11.7043202,2.2,2008
30702,37.3553182512,11.5669486468,2.815,2008
30703,37.4911836542,11.2604912221,2.4,2008
30704,37.1602571832,11.3319098548,1.58,2008
30705,37.2078808754,10.9980571456,2,2008
30706,37.4411244723,10.9732842596,2.405,2008
30707,37.6140628935,10.8598711051,2.5,2008
30708,37.3627319865,10.5253944858,2.3,2008
30709,37.2761336483,10.6999240229,2.22,2008
30710,37.0488418627,10.5411983263,2.25,2008
30712,37.6691813785,11.174087452,2.64,2008
30803,38.6726488717,12.4355310574,2.44,2008
30901,36.7707909763,11.2255343485,2.3,2008
30904,36.5059751591,10.7844460125,2,2008
30905,36.8968791917,11.0829755423,2.61,2008
30906,36.4047932664,11.6983570345,1.83,2008
31001,39.8465028251,10.7774944334,2.195,2008
31003,40.0259954413,10.2869090402,1.605,2008
31005,40.0324229624,10.7537743038,2,2008
40101,35.0280533631,9.76177811016,1.44,2008
40102,35.4751341704,9.56736277179,1.75,2008
40103,35.9047160258,9.15940949895,2.48,2008
40105,35.2736491689,9.70255467317,2,2008
40107,35.3454426146,9.23254767674,2.41,2008
