"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,6.41,2011
10102,38.1976053718,14.3684872468,4.815,2011
10103,38.4462212067,14.0128021324,3.33,2011
10104,38.2890387993,14.0954039933,3.435,2011
10105,37.9943044852,13.9583210338,3.1,2011
10106,38.1869484907,13.6373483963,2.99,2011
10201,38.7617737708,14.3731691358,3.625,2011
10206,38.5883883827,14.088489664,2.9,2011
10207,38.6864654633,13.8441677661,3.28,2011
10208,38.9146047812,13.7068189496,2.6,2011
10210,38.8908897116,13.4053203879,3.6,2011
10303,39.6072479476,14.1599095903,3.5,2011
10305,39.3847765445,13.9659940799,5.215,2011
10306,39.527610911,13.7556066885,3.79,2011
10401,39.1731478762,13.2267713565,2.34,2011
10404,39.4255181745,12.9493325009,2.86,2011
10406,39.7165944103,12.6432207225,3.1,2011
10407,39.5185955006,12.3906479948,1.95,2011
10408,39.3835564247,12.5435315255,3.42,2011
10501,36.8755172181,14.0458655784,4,2011
10502,37.4043810282,13.7570921417,3.38,2011
10503,37.0761351319,13.5155634396,3.25,2011
20103,41.4722273717,11.5530380207,3.75,2011
20104,41.6739144524,11.3388802809,2.2,2011
20306,39.8673677546,9.48779371362,4.17,2011
30101,37.9640160833,13.3939012321,2.9,2011
30108,37.3686118944,12.7640315158,2.78,2011
30110,37.5902404958,12.3830606016,2.41,2011
30111,37.2662469495,12.3978364963,2.54,2011
30112,36.9193565029,12.6032497692,3,2011
30113,36.3253102546,12.8831867494,2.685,2011
30114,35.8771043419,12.2432834473,1.83,2011
30115,36.7407517091,11.9342535541,2.6,2011
30120,37.0834321716,13.0362095432,2.5,2011
30121,36.7706122103,12.2335690551,2.96,2011
30202,37.7824914691,12.1456321624,2.99,2011
30203,37.7689560145,11.8858941622,3.4,2011
30204,38.0780698792,11.8398173307,1.96,2011
30209,37.6767673815,11.6119339133,2.535,2011
30404,39.4942429181,11.5001579387,4.5,2011
30407,39.8341487313,11.0721035216,2.905,2011
30411,38.7743238736,11.067174873,5.58,2011
30412,38.6951717005,10.7478240456,3.33,2011
30501,39.0092926195,10.2443054042,2.55,2011
30507,39.8026949302,10.5998286943,2.45,2011
30508,39.8863490586,10.3116653775,2.945,2011
30512,39.9083072879,9.97697459401,2.94,2011
30515,39.7718559409,9.55828706557,4.29,2011
30518,39.4900818602,8.9269057571,2.5,2011
30601,37.7529514139,10.8319963436,3.12,2011
30602,37.8995407123,10.9873918702,2.71,2011
30605,38.2170775719,10.6853565592,2.92,2011
30606,38.1763215848,10.5039977475,2.085,2011
30609,37.5436708619,10.4897726295,2.4,2011
30610,37.6346910804,10.2701187939,2.7,2011
30611,37.717603005,10.0290557475,3.17,2011
30613,38.1772925744,10.2022520682,2.5,2011
30614,38.3722132723,10.3456615067,2.14,2011
30617,37.8820100408,10.1811865565,3.57,2011
30701,36.9542675614,11.7043202,2.05,2011
30702,37.3553182512,11.5669486468,2.27,2011
30703,37.4911836542,11.2604912221,2.22,2011
30704,37.1602571832,11.3319098548,2,2011
30705,37.2078808754,10.9980571456,2.45,2011
30706,37.4411244723,10.9732842596,3.06,2011
30707,37.6140628935,10.8598711051,2.055,2011
30708,37.3627319865,10.5253944858,2.3,2011
30709,37.2761336483,10.6999240229,2.48,2011
30710,37.0488418627,10.5411983263,2.5,2011
30712,37.6691813785,11.174087452,2.75,2011
30801,38.7053175626,12.8052736565,3.33,2011
30802,39.0600658622,12.6690929688,4.32,2011
30901,36.7707909763,11.2255343485,2.1,2011
30902,36.9110327978,10.9695834996,3.185,2011
30903,36.789821406,10.7586974198,2.38,2011
30904,36.5059751591,10.7844460125,2.125,2011
30905,36.8968791917,11.0829755423,2.4,2011
30906,36.4047932664,11.6983570345,1.725,2011
31001,39.8465028251,10.7774944334,2.13,2011
31002,40.0481660914,11.1953076613,2.8,2011
31003,40.0259954413,10.2869090402,2.7,2011
31004,40.0261175074,10.549209841,3.19,2011
40101,35.0280533631,9.76177811016,1.5,2011
40102,35.4751341704,9.56736277179,2.02,2011
40103,35.9047160258,9.15940949895,1.74,2011
40104,35.6729948493,9.20800208965,3.34,2011
40105,35.2736491689,9.70255467317,1.055,2011
