"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
30107,37.0249067332,13.3234078938,3,2009
30108,37.3686118944,12.7640315158,4,2009
30111,37.2662469495,12.3978364963,3.13,2009
30112,36.9193565029,12.6032497692,2.99,2009
30113,36.3253102546,12.8831867494,2.82,2009
30115,36.7407517091,11.9342535541,3.1,2009
30116,37.846502651,12.4924425667,3.425,2009
30121,36.7706122103,12.2335690551,3.575,2009
30701,36.9542675614,11.7043202,3,2009
30702,37.3553182512,11.5669486468,2.87,2009
30703,37.4911836542,11.2604912221,3,2009
30704,37.1602571832,11.3319098548,2.86,2009
30705,37.2078808754,10.9980571456,3.615,2009
30706,37.4411244723,10.9732842596,3.33,2009
30707,37.6140628935,10.8598711051,3.21,2009
30708,37.3627319865,10.5253944858,3.05,2009
30709,37.2761336483,10.6999240229,3.19,2009
30710,37.0488418627,10.5411983263,3.21,2009
30712,37.6691813785,11.174087452,3.54,2009
40801,39.8386234426,8.52800292002,4,2009
40802,40.0591904965,8.53000436933,3,2009
40803,40.1908371361,8.27756504245,4,2009
40804,39.6562560383,8.35747373265,2.83,2009
40805,39.2545523753,8.29062807315,3.2,2009
40807,39.2417710235,8.07043531039,4.4,2009
40808,39.8094954253,8.01018120748,3,2009
40814,39.5765956687,7.5698181752,2.9,2009
40819,39.9120318453,8.32760644816,4.76,2009
40821,39.4056900301,8.09680560259,3.09,2009
41701,38.1989093583,7.12631308643,3,2009
41702,38.3945189761,7.32382852405,3.14,2009
41704,38.8408693673,7.02351226548,3.9,2009
41709,39.2098223939,6.58133332595,3.375,2009
41712,38.5892938054,7.20310315962,2.9,2009
