"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,6.745,2014
10102,38.1976053718,14.3684872468,5.33,2014
10103,38.4462212067,14.0128021324,5.33,2014
10104,38.2890387993,14.0954039933,5.7,2014
10105,37.9943044852,13.9583210338,5.48,2014
10106,38.1869484907,13.6373483963,5.07,2014
10203,39.0925109546,13.9865577133,4.375,2014
10204,38.9257460174,14.1805138195,8.89,2014
10206,38.5883883827,14.088489664,7.62,2014
10207,38.6864654633,13.8441677661,7.57,2014
10208,38.9146047812,13.7068189496,5.33,2014
10209,39.2296931786,13.6251948789,5.03,2014
10210,38.8908897116,13.4053203879,6.15,2014
10401,39.1731478762,13.2267713565,6.29,2014
10402,39.5580554377,13.4448070386,8.82,2014
10403,39.559229543,13.149430224,6.82,2014
10407,39.5185955006,12.3906479948,5.26,2014
10502,37.4043810282,13.7570921417,6.325,2014
10503,37.0761351319,13.5155634396,4.43,2014
20101,41.0182942717,11.8466984104,4,2014
20103,41.4722273717,11.5530380207,4.4,2014
20104,41.6739144524,11.3388802809,4.58,2014
20306,39.8673677546,9.48779371362,7.04,2014
30101,37.9640160833,13.3939012321,5,2014
30108,37.3686118944,12.7640315158,5.295,2014
30110,37.5902404958,12.3830606016,6.54,2014
30111,37.2662469495,12.3978364963,5.33,2014
30112,36.9193565029,12.6032497692,5.695,2014
30113,36.3253102546,12.8831867494,5.33,2014
30114,35.8771043419,12.2432834473,5.91,2014
30115,36.7407517091,11.9342535541,5,2014
30116,37.846502651,12.4924425667,7.805,2014
30120,37.0834321716,13.0362095432,3.29,2014
30202,37.7824914691,12.1456321624,6.67,2014
30204,38.0780698792,11.8398173307,5.01,2014
30209,37.6767673815,11.6119339133,4.69,2014
30307,39.484509042,11.7934881855,8.06,2014
30402,39.2251790559,11.2227472241,4.87,2014
30405,39.6893650051,11.3252474795,7.51,2014
30406,39.8883413519,11.4373119139,6.4,2014
30407,39.8341487313,11.0721035216,7,2014
30507,39.8026949302,10.5998286943,6.32,2014
30508,39.8863490586,10.3116653775,5.71,2014
30510,39.8116846124,9.86747119293,5.36,2014
30512,39.9083072879,9.97697459401,6.82,2014
30518,39.4900818602,8.9269057571,5.25,2014
30603,38.1687075546,10.9849875701,6.62,2014
30606,38.1763215848,10.5039977475,6.17,2014
30609,37.5436708619,10.4897726295,5.36,2014
30611,37.717603005,10.0290557475,5.04,2014
30613,38.1772925744,10.2022520682,6.48,2014
30617,37.8820100408,10.1811865565,5.86,2014
30701,36.9542675614,11.7043202,4.7,2014
30702,37.3553182512,11.5669486468,5.52,2014
30703,37.4911836542,11.2604912221,4.82,2014
30704,37.1602571832,11.3319098548,5,2014
30706,37.4411244723,10.9732842596,4.6,2014
