"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,5.105,2010
10102,38.1976053718,14.3684872468,4.76,2010
10103,38.4462212067,14.0128021324,4.09,2010
10104,38.2890387993,14.0954039933,3.785,2010
10105,37.9943044852,13.9583210338,3.94,2010
10106,38.1869484907,13.6373483963,3.45,2010
10201,38.7617737708,14.3731691358,5.48,2010
10204,38.9257460174,14.1805138195,4.64,2010
10205,38.7607103669,14.0973815128,6.125,2010
10206,38.5883883827,14.088489664,3.95,2010
10207,38.6864654633,13.8441677661,4.35,2010
10208,38.9146047812,13.7068189496,5.13,2010
10210,38.8908897116,13.4053203879,4.05,2010
10305,39.3847765445,13.9659940799,4.2,2010
10306,39.527610911,13.7556066885,4.78,2010
10401,39.1731478762,13.2267713565,4.14,2010
10404,39.4255181745,12.9493325009,4.5,2010
10408,39.3835564247,12.5435315255,4.24,2010
10502,37.4043810282,13.7570921417,3.49,2010
10503,37.0761351319,13.5155634396,2.86,2010
20103,41.4722273717,11.5530380207,2.6,2010
20306,39.8673677546,9.48779371362,5.1,2010
30107,37.0249067332,13.3234078938,4,2010
30108,37.3686118944,12.7640315158,3.47,2010
30110,37.5902404958,12.3830606016,3.13,2010
30111,37.2662469495,12.3978364963,2.705,2010
30112,36.9193565029,12.6032497692,2.7,2010
30113,36.3253102546,12.8831867494,2,2010
30115,36.7407517091,11.9342535541,2.735,2010
30121,36.7706122103,12.2335690551,2.96,2010
30202,37.7824914691,12.1456321624,3.275,2010
30203,37.7689560145,11.8858941622,3.33,2010
30209,37.6767673815,11.6119339133,2.7,2010
30211,37.9129262314,11.3709450698,4.01,2010
30404,39.4942429181,11.5001579387,3.6,2010
30405,39.6893650051,11.3252474795,4,2010
30411,38.7743238736,11.067174873,4.72,2010
30412,38.6951717005,10.7478240456,3.61,2010
30413,38.9837857638,10.5394870005,3.13,2010
30416,38.6799782192,10.5336272882,3.66,2010
30501,39.0092926195,10.2443054042,3.83,2010
30507,39.8026949302,10.5998286943,2.63,2010
30508,39.8863490586,10.3116653775,2.94,2010
30515,39.7718559409,9.55828706557,3.355,2010
30601,37.7529514139,10.8319963436,2.96,2010
30602,37.8995407123,10.9873918702,3.6,2010
30604,38.3917629465,10.8642630053,4.8,2010
30605,38.2170775719,10.6853565592,4.17,2010
30609,37.5436708619,10.4897726295,2.7,2010
30610,37.6346910804,10.2701187939,3.11,2010
30613,38.1772925744,10.2022520682,4.14,2010
30701,36.9542675614,11.7043202,2.3,2010
30702,37.3553182512,11.5669486468,2.69,2010
30703,37.4911836542,11.2604912221,2.5,2010
30704,37.1602571832,11.3319098548,2.49,2010
30705,37.2078808754,10.9980571456,3.33,2010
30706,37.4411244723,10.9732842596,2.67,2010
30707,37.6140628935,10.8598711051,3.21,2010
30708,37.3627319865,10.5253944858,2.58,2010
30709,37.2761336483,10.6999240229,2.98,2010
30710,37.0488418627,10.5411983263,2.64,2010
30712,37.6691813785,11.174087452,3.05,2010
30803,38.6726488717,12.4355310574,5.65,2010
30901,36.7707909763,11.2255343485,2.45,2010
30903,36.789821406,10.7586974198,2.4,2010
30904,36.5059751591,10.7844460125,2.2,2010
30905,36.8968791917,11.0829755423,2.5,2010
30906,36.4047932664,11.6983570345,1.95,2010
31001,39.8465028251,10.7774944334,2.65,2010
31002,40.0481660914,11.1953076613,2.98,2010
31004,40.0261175074,10.549209841,3.925,2010
40101,35.0280533631,9.76177811016,2.19,2010
40102,35.4751341704,9.56736277179,2.07,2010
40103,35.9047160258,9.15940949895,2.325,2010
40105,35.2736491689,9.70255467317,1.98,2010
40107,35.3454426146,9.23254767674,2.01,2010
40109,34.7558230176,9.3993217231,1.67,2010
40110,35.5050579973,9.28442939298,2.31,2010
40111,35.0959844916,9.44536705738,1.64,2010
40113,35.5948283565,9.036090766,2.185,2010
40116,34.5413081499,9.34318907643,1.75,2010
40201,36.4724618623,9.73286014861,1.35,2010
40203,36.7177769772,9.96816088673,1.81,2010
40207,36.958726332,9.34916693902,1.89,2010
40209,36.8099302958,9.15439221612,1.43,2010
40210,36.3158202208,9.05029854018,1.75,2010
40211,36.3763860147,9.2327138396,1.64,2010
40212,36.4640546195,8.90085666778,1.92,2010
40213,36.5910677797,9.26686164516,1.74,2010
40214,36.5462212241,8.71698147998,2.19,2010
40215,36.7175864402,8.71234501751,1.79,2010
40301,35.3770822223,8.61809927825,1.43,2010
40302,35.7793654414,8.59322194462,1.755,2010
40303,36.1432453254,8.38683474786,1.72,2010
40306,36.4804943971,8.36251770388,1.33,2010
40307,36.6511724176,8.30590412602,1,2010
40308,36.5386715869,8.13119877261,1.56,2010
40310,35.4174221776,8.35258183286,2.39,2010
40311,35.5933084586,8.07377188377,1.45,2010
40312,35.1311381919,8.32143027323,2.38,2010
40318,35.9951759787,8.73566426267,1.43,2010
40323,36.1326673178,8.89233141002,1,2010
40401,36.9510118735,8.4877317771,1.25,2010
40402,36.9557870092,8.02660351327,1.41,2010
40406,36.7593603658,7.7798848072,2.18,2010
40407,36.5852390824,7.8783052435,1.76,2010
40408,36.2307798008,7.69814810001,1.81,2010
40409,36.6583848447,7.57310781254,1.695,2010
40410,36.9383437953,7.41528201649,1.85,2010
40413,36.2143333906,8.06298225868,1.43,2010
40415,37.2383736875,8.33758730621,1.76,2010
40502,37.9908958497,9.32839140315,2.82,2010
40504,37.5682323963,9.19971590691,1.87,2010
40506,37.1534630847,9.09475907743,2.16,2010
40508,37.4381851334,8.52094440416,2.3,2010
40518,37.4795001208,8.73068494957,1.985,2010
40603,38.5158819757,9.95858770034,3.42,2010
40604,38.3041150605,9.74723324345,3.33,2010
40606,38.7340886055,9.79143883981,2.42,2010
40702,39.5351613341,8.64870879417,3.5,2010
40708,38.6109652863,7.81676235062,2.82,2010
40801,39.8386234426,8.52800292002,4,2010
40802,40.0591904965,8.53000436933,3,2010
40803,40.1908371361,8.27756504245,3.39,2010
40805,39.2545523753,8.29062807315,3,2010
40807,39.2417710235,8.07043531039,3.495,2010
40812,39.8001239897,7.68990122842,3.29,2010
40814,39.5765956687,7.5698181752,3.1,2010
40819,39.9120318453,8.32760644816,3.7,2010
40903,41.1217809768,9.17612500943,3.03,2010
40907,40.482060305,8.91726942704,4.81,2010
40908,40.5109441723,8.75269366312,3.315,2010
40909,40.633003924,8.22885342223,4.35,2010
41008,41.8058879707,9.37957963387,3,2010
41009,41.5820073766,9.3593921804,3.17,2010
41011,41.4360976024,9.21400418537,3.03,2010
41012,41.3266728317,8.89631763797,3.17,2010
41013,41.6380467409,9.06292508372,5,2010
41016,41.8651335169,9.02805239596,4,2010
41104,39.7835384008,7.31807602242,2.87,2010
41106,40.1525054949,7.38123850329,2.7,2010
41107,41.2419997621,7.85192919563,3.79,2010
41112,40.046501264,6.2649417066,2.93,2010
41113,39.6027649165,6.00569408919,2.445,2010
41114,40.162708262,6.71035323928,3,2010
41118,41.2123246526,7.36826755962,3.47,2010
41206,38.2024332079,5.63701422809,2.6,2010
41301,37.6968472192,8.56126875923,1.32,2010
41302,37.8871628586,8.66938606508,2.64,2010
41401,38.565368512,6.07566663428,2.2,2010
41402,38.7230878945,6.24924017771,2.4,2010
41403,38.9972444904,5.95295570211,2.78,2010
41405,38.9512637792,5.51827257438,2.21,2010
41406,38.4732901496,5.75634953155,2.015,2010
41407,39.5213021086,5.21094436329,3,2010
41409,38.4861208286,5.93727471252,1.88,2010
41410,39.188265051,6.14055313321,1.62,2010
41701,38.1989093583,7.12631308643,2.6,2010
41702,38.3945189761,7.32382852405,2.5,2010
41704,38.8408693673,7.02351226548,3,2010
41709,39.2098223939,6.58133332595,2.375,2010
41712,38.5892938054,7.20310315962,2.8,2010
41801,34.9913465397,8.62567749489,1.375,2010
41802,34.8578646943,8.80602413989,1.465,2010
41803,35.0752445726,8.94260879999,1.5,2010
41804,34.9328446564,9.14111005445,1.39,2010
41805,34.8267825236,8.45776518879,2.005,2010
41807,34.5207465268,8.59565642241,2.62,2010
41808,35.2002164286,8.92974754637,1.695,2010
41809,34.4337173446,8.91075043955,1.29,2010
41811,35.3304277284,8.86159440353,1.75,2010
41901,37.1115670455,9.64681909094,1.7,2010
41903,37.4266032203,9.4435724306,2.1,2010
41904,37.5204929833,9.81033295469,2.26,2010
41905,37.3559953792,9.73283118568,1.8,2010
41906,37.1412466775,9.38710885125,2.44,2010
41907,37.3400747565,9.25113927499,2.27,2010
41908,37.1474203317,9.90180590141,1.85,2010
41909,37.0086474113,10.122621501,1.85,2010
41910,36.8343815045,9.59858317945,1.79,2010
50202,42.5587505341,9.18372991353,3.13,2010
50204,42.8849887658,9.34991440731,2.78,2010
60201,36.0180286259,11.3635138033,1.89,2010
60202,35.4728148453,11.532881432,2.13,2010
60203,35.5512338072,10.6038463163,1.8,2010
60204,36.2778707422,11.0179800094,2.1,2010
60205,36.21444562,10.4692270983,2.1,2010
60301,34.8640923695,10.3381854929,3.205,2010
60303,34.4716639363,9.99023779343,2.13,2010
60305,34.7014204215,9.79040587326,1.89,2010
60306,35.1146266563,10.1314310087,2,2010
60402,35.2001208352,10.5577833438,2.175,2010
60403,35.9130638265,9.48317321412,1.96,2010
60404,35.652666796,9.80205509828,2.19,2010
70102,37.6269862435,8.31511606243,2.3,2010
70106,38.3897818984,8.13872585557,3.33,2010
70204,38.0338107524,7.49862911328,3.19,2010
70206,37.5547008486,7.43544742057,2.98,2010
70210,37.6200299931,7.58364571222,3,2010
70301,37.4887733323,7.27082227315,3.115,2010
70302,37.8603893866,7.35757833629,3.25,2010
70303,37.9429992557,7.24897789951,2.97,2010
70304,37.7754882795,7.22481417092,2.88,2010
70401,38.4381592369,6.88596778742,3.35,2010
70402,38.337997794,7.0432473729,2.8,2010
70403,38.6985394429,6.68191782242,2.4,2010
70405,38.4427064922,6.60568000427,2.73,2010
70407,38.565608558,6.49449580848,2.44,2010
70408,38.8496555375,6.53215611137,3,2010
70409,38.9904565665,6.30886950539,2.99,2010
70601,37.70909936,7.07241969712,2.74,2010
70602,37.8854620303,6.98755185591,3,2010
70603,37.9480877827,6.8414620015,3.33,2010
70605,37.7283270749,6.83324072518,3.85,2010
70608,37.5519059637,7.10597265496,3.03,2010
70609,37.6591670341,6.94512147983,2.8,2010
70612,38.0506093454,6.93542950428,2.175,2010
70702,36.5578272665,5.94196584839,2.34,2010
70703,36.6491164428,6.17354644378,1.78,2010
70705,36.7419051391,5.42792723464,3.51,2010
70707,36.880110855,5.76135591066,2.31,2010
70801,35.4597909145,7.73111689886,1.32,2010
70802,35.3365321194,7.5545936127,1.79,2010
70803,35.4667023411,7.2464549135,1.7,2010
70901,35.8687052598,7.89522000481,0.65,2010
70902,35.6888102656,7.62687075312,1.13,2010
70903,35.9790176016,7.54519760971,1.125,2010
70905,36.5550845874,7.26469743667,1.09,2010
70906,36.4559630826,7.09660482935,1.29,2010
70907,36.3663670435,6.90904558824,1.24,2010
70908,36.1661114263,6.83892617264,1,2010
70909,35.8783016071,7.24415849804,1.54,2010
71001,36.6873240678,6.52468803298,1.405,2010
71002,37.0112519427,6.46224374261,2.225,2010
71003,37.3627426079,6.52393523093,3,2010
71004,37.6558108559,6.52749675249,3.67,2010
71010,37.0826795107,6.28914072529,2.33,2010
71011,36.8699854189,6.06099490609,1.85,2010
71014,36.8058897703,6.35677432218,1.64,2010
71101,35.4643310229,7.07278925904,1.62,2010
71103,35.5160012736,6.86700729292,1.375,2010
71104,35.7508679304,6.90154615753,1.295,2010
71105,35.8756861719,6.78389902242,1.15,2010
71106,35.7061282901,6.48739724382,1.225,2010
71107,35.6936260892,5.93197324593,0.81,2010
71110,35.6453288288,7.06790808828,1.5,2010
71201,37.4979203132,7.8177652491,2.59,2010
71301,37.7870727338,5.79394347232,2.565,2010
71401,37.7576794897,5.50776912306,3.16,2010
