"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,5.63,2016
10102,38.1976053718,14.3684872468,4.56,2016
10103,38.4462212067,14.0128021324,4.8,2016
10104,38.2890387993,14.0954039933,4.74,2016
10105,37.9943044852,13.9583210338,5.3,2016
10106,38.1869484907,13.6373483963,4.2,2016
10201,38.7617737708,14.3731691358,4,2016
10203,39.0925109546,13.9865577133,6.035,2016
10204,38.9257460174,14.1805138195,6.225,2016
10206,38.5883883827,14.088489664,5.64,2016
10207,38.6864654633,13.8441677661,7.02,2016
10208,38.9146047812,13.7068189496,4.91,2016
10210,38.8908897116,13.4053203879,6.15,2016
10306,39.527610911,13.7556066885,6.08,2016
10401,39.1731478762,13.2267713565,6.11,2016
10402,39.5580554377,13.4448070386,7.46,2016
10405,39.4556186598,12.7571015885,6.61,2016
10406,39.7165944103,12.6432207225,7.56,2016
10407,39.5185955006,12.3906479948,5.5,2016
10502,37.4043810282,13.7570921417,5.56,2016
10503,37.0761351319,13.5155634396,3.21,2016
20103,41.4722273717,11.5530380207,3.9,2016
20104,41.6739144524,11.3388802809,4.1,2016
30101,37.9640160833,13.3939012321,3.5,2016
30108,37.3686118944,12.7640315158,4.41,2016
30110,37.5902404958,12.3830606016,4.76,2016
30111,37.2662469495,12.3978364963,4,2016
30112,36.9193565029,12.6032497692,3.97,2016
30113,36.3253102546,12.8831867494,3.7,2016
30114,35.8771043419,12.2432834473,3.6,2016
30115,36.7407517091,11.9342535541,3.7,2016
30116,37.846502651,12.4924425667,5,2016
30120,37.0834321716,13.0362095432,2.57,2016
30201,38.2359611133,12.190588177,6.335,2016
30202,37.7824914691,12.1456321624,4.67,2016
30203,37.7689560145,11.8858941622,5,2016
30204,38.0780698792,11.8398173307,4.8,2016
30209,37.6767673815,11.6119339133,3.69,2016
30407,39.8341487313,11.0721035216,7,2016
30501,39.0092926195,10.2443054042,6.17,2016
30508,39.8863490586,10.3116653775,4.07,2016
30512,39.9083072879,9.97697459401,5.6,2016
30518,39.4900818602,8.9269057571,5.5,2016
30602,37.8995407123,10.9873918702,4,2016
30603,38.1687075546,10.9849875701,4.29,2016
30606,38.1763215848,10.5039977475,4.3,2016
30607,37.9924528885,10.5419707653,4.145,2016
30609,37.5436708619,10.4897726295,4.215,2016
30610,37.6346910804,10.2701187939,4.83,2016
30611,37.717603005,10.0290557475,4.32,2016
30613,38.1772925744,10.2022520682,5.13,2016
30617,37.8820100408,10.1811865565,4.48,2016
30701,36.9542675614,11.7043202,3.8,2016
30702,37.3553182512,11.5669486468,3.68,2016
30703,37.4911836542,11.2604912221,4,2016
30704,37.1602571832,11.3319098548,4,2016
30706,37.4411244723,10.9732842596,4.03,2016
30708,37.3627319865,10.5253944858,4,2016
30709,37.2761336483,10.6999240229,3.93,2016
30710,37.0488418627,10.5411983263,4.29,2016
30803,38.6726488717,12.4355310574,6.56,2016
30901,36.7707909763,11.2255343485,3.88,2016
30903,36.789821406,10.7586974198,4.44,2016
30904,36.5059751591,10.7844460125,3.5,2016
30905,36.8968791917,11.0829755423,5.525,2016
31001,39.8465028251,10.7774944334,2.715,2016
40101,35.0280533631,9.76177811016,3.64,2016
40102,35.4751341704,9.56736277179,4.39,2016
40103,35.9047160258,9.15940949895,4.07,2016
40104,35.6729948493,9.20800208965,3.54,2016
40106,35.6381218261,9.40374970967,3.965,2016
40108,35.3129081845,9.44080168789,3.78,2016
40112,35.4568220625,8.97248300072,3.17,2016
40114,35.8496009787,8.98156808073,3.33,2016
40115,35.7843274699,8.80367399031,4.075,2016
40116,34.5413081499,9.34318907643,3.28,2016
40201,36.4724618623,9.73286014861,3.33,2016
40203,36.7177769772,9.96816088673,3.4,2016
40205,37.0377324739,8.91481577354,3.5,2016
40206,36.6835744216,9.02525755476,3.64,2016
40208,36.9755218583,9.16431415379,3.57,2016
40209,36.8099302958,9.15439221612,3.45,2016
40210,36.3158202208,9.05029854018,3.65,2016
40211,36.3763860147,9.2327138396,2.95,2016
40212,36.4640546195,8.90085666778,3.285,2016
40215,36.7175864402,8.71234501751,3.76,2016
40301,35.3770822223,8.61809927825,3,2016
40303,36.1432453254,8.38683474786,3.54,2016
40304,36.1360400596,8.59544185124,3.33,2016
40307,36.6511724176,8.30590412602,5,2016
40308,36.5386715869,8.13119877261,3.475,2016
40309,35.9385809326,8.27157682008,4,2016
40310,35.4174221776,8.35258183286,3.57,2016
40311,35.5933084586,8.07377188377,5.33,2016
40312,35.1311381919,8.32143027323,3.605,2016
40315,35.5295497031,8.42916095553,3.25,2016
40322,36.3817263308,8.47202110531,3.33,2016
40401,36.9510118735,8.4877317771,3.6,2016
40403,37.4573839286,7.98851072332,3.91,2016
40404,37.2714809269,7.98539426499,3.93,2016
40405,37.0318339068,7.77643464689,4.07,2016
40406,36.7593603658,7.7798848072,4.12,2016
40407,36.5852390824,7.8783052435,4.12,2016
40408,36.2307798008,7.69814810001,4.76,2016
40409,36.6583848447,7.57310781254,4.12,2016
40411,37.23991678,7.54213154699,3.45,2016
40413,36.2143333906,8.06298225868,4.595,2016
40501,37.750455055,9.63689730859,3.94,2016
40503,37.8543644284,9.03835132212,5.065,2016
40505,37.3673804287,9.00466055533,3.5,2016
40506,37.1534630847,9.09475907743,3.7,2016
40507,37.2891529757,8.75422995549,3.475,2016
40508,37.4381851334,8.52094440416,4.2,2016
40702,39.5351613341,8.64870879417,4.5,2016
40703,39.2638510612,8.47462687303,5.5,2016
40707,38.7459481627,8.19125346324,4.5,2016
40708,38.6109652863,7.81676235062,4.1,2016
40711,38.8880876501,8.50279566968,5.355,2016
40801,39.8386234426,8.52800292002,9.09,2016
40802,40.0591904965,8.53000436933,4.5,2016
40803,40.1908371361,8.27756504245,5,2016
40804,39.6562560383,8.35747373265,4.915,2016
40806,38.9479573826,7.96948495003,4.55,2016
40807,39.2417710235,8.07043531039,6,2016
40810,40.1761068525,7.90127094092,4.95,2016
40811,40.3381473924,7.72808101797,7.04,2016
40814,39.5765956687,7.5698181752,4.35,2016
40820,39.5014455968,8.29677498897,5.5,2016
40902,41.0814998171,9.31816981981,6,2016
40904,41.1775005263,8.98626287483,4.35,2016
40908,40.5109441723,8.75269366312,5,2016
40911,40.9858772955,8.68235898187,4.55,2016
41011,41.4360976024,9.21400418537,4.97,2016
41013,41.6380467409,9.06292508372,5.115,2016
41104,39.7835384008,7.31807602242,5.48,2016
41105,40.6072201595,7.53626515763,4.535,2016
41106,40.1525054949,7.38123850329,4.83,2016
41107,41.2419997621,7.85192919563,5.97,2016
41112,40.046501264,6.2649417066,3.445,2016
41113,39.6027649165,6.00569408919,3.68,2016
41114,40.162708262,6.71035323928,3.45,2016
